,date,sensor_index,location_type.x,community,latitude,longitude,daily_PM,daily_RH,Smoke
198,1/5/23,124715,1,north park,41.980335,-87.71664,2.241397695,14.89337176,None
199,1/5/23,45079,1,NA,42.0225,-87.76374,1.666694444,27,None
200,1/5/23,124737,0,edgewater,41.994427,-87.66211,14.16363893,58.43582511,None
201,1/5/23,124685,0,edgewater,41.991535,-87.6575,2361.887782,58.45897079,None
202,1/5/23,137622,1,edgewater,41.998116,-87.65649,2.557805556,14.08611111,None
203,1/5/23,4404,0,NA,42.02362,-87.76341,18.46977778,59.23888889,None
204,1/5/23,52011,0,west town,41.911945,-87.66863,12.6778156,52.32056738,None
205,1/5/23,124677,0,edgewater,41.99066,-87.66854,17.09136111,57.77083333,None
206,1/5/23,124759,1,north park,41.98036,-87.716576,1.258666667,14.46111111,None
207,1/5/23,150042,0,edgewater,41.998127,-87.65679,25.95923611,65.58194444,None
208,1/5/23,45359,1,west ridge,41.993645,-87.69304,2.060531469,18.37902098,None
209,1/5/23,51933,0,jefferson park,41.981876,-87.7778,26.03845661,62.10953058,None
210,1/5/23,87741,0,west town,41.90011,-87.68288,27.01514624,61.63649025,None
211,1/5/23,128349,0,south deering,41.7118,-87.55293,10.5384965,55.56643357,None
212,1/5/23,124679,0,south chicago,41.74125,-87.55403,15.96415621,60.73500697,None
213,1/5/23,4395,0,west ridge,41.99568,-87.69189,18.78329609,56.91899441,None
214,1/5/23,7920,0,south lawndale,41.849483,-87.69537,22.83655292,59.83704735,None
215,1/5/23,140102,0,brighton park,41.82193,-87.69146,23.73415503,72.08659218,None
216,1/5/23,148029,0,irving park,41.9475,-87.71516,26.44025838,61.6222067,None
217,1/5/23,96079,0,new city,41.81229,-87.66579,24.38672779,60.348378,None
218,1/5/23,57579,1,edgewater,41.991753,-87.657234,2.210873239,24.33943662,None
219,1/5/23,43955,1,west ridge,41.993675,-87.6932,4.824538352,22.63778409,None
220,1/5/23,36901,1,loop,41.88437,-87.61652,5.062909091,15.39160839,None
221,1/5/23,151188,0,near north side,41.897343,-87.62692,24.0000625,52.76111111,None
222,1/5/23,133664,1,near south side,41.8595,-87.6205,17.42422006,54.40947075,None
223,1/5/23,109598,0,west town,41.89003,-87.65576,16.0783617,53.53617021,None
224,1/5/23,140390,1,uptown,41.975258,-87.67274,3.104019471,29.87760779,None
225,1/5/23,94003,0,mckinley park,41.824825,-87.675125,23.71912256,64.34818942,None
226,1/5/23,124649,0,east side,41.68474,-87.53683,14.15194832,59.09078212,None
227,1/6/23,3499,0,west town,41.892696,-87.68569,16.43497,65.184,None
228,1/6/23,101643,0,north park,41.980278,-87.71708,19.08261481,76.57333333,None
229,1/6/23,124677,0,edgewater,41.99066,-87.66854,9.951409722,57.96388889,None
230,1/6/23,124759,1,north park,41.98036,-87.716576,0.303806078,13.63965268,None
231,1/6/23,45079,1,NA,42.0225,-87.76374,0.937013889,26.49583333,None
232,1/6/23,124737,0,edgewater,41.994427,-87.66211,7.952857143,59.24242424,None
233,1/6/23,124715,1,north park,41.980335,-87.71664,0.898866279,13.76017442,None
234,1/6/23,96035,0,mckinley park,41.828648,-87.66791,8.727868056,63.2,None
235,1/6/23,124685,0,edgewater,41.991535,-87.6575,2344.747257,57.525,None
236,1/6/23,45359,1,west ridge,41.993645,-87.69304,1.387802503,18.70375522,None
